id,symbol,name,category,current_price,market_cap,total_volume,circulating_supply,max_supply,rank,price_change_percentage_24h,ath,atl,high_24h,low_24h,market_cap_change_percentage_24h,last_updated
bittensor,tao,Bittensor,Inteligencia Artificial,354.28,3083412710.0,84323498.0,8700789.0,21000000.0,40.0,-4.99158,757.6,30.83,375.69,347.56,-4.79225,2025-05-04 02:33:01.230000+00:00
near,near,NEAR Protocol,Inteligencia Artificial,2.44,2956640276.0,125185944.0,1209892095.0,-1.0,43.0,-1.59098,20.44,0.526762,2.51,2.41,-1.33329,2025-05-04 02:33:00.982000+00:00
internet-computer,icp,Internet Computer,Inteligencia Artificial,4.74,2524932429.0,55718592.0,532754349.5082075,-1.0,49.0,-3.90983,700.65,2.87,4.94,4.68,-3.71514,2025-05-04 02:32:56.159000+00:00
render-token,render,Render,Inteligencia Artificial,4.61,2388047886.0,152862221.0,517716590.0562826,-1.0,54.0,-3.44506,13.53,0.03665669,4.8,4.55,-3.2098,2025-05-04 02:32:58.653000+00:00
fetch-ai,fet,Artificial Superintelligence Alliance,Inteligencia Artificial,0.69033,1799531270.0,91054597.0,2604959126.672,2714493896.672,63.0,-2.92643,3.45,0.00816959,0.713873,0.678204,-2.86162,2025-05-04 02:33:00.034000+00:00
virtual-protocol,virtual,Virtuals Protocol,Inteligencia Artificial,1.73,1123790301.0,366520802.0,652372778.3321027,1000000000.0,85.0,-1.86386,5.07,0.00748604,1.84,1.68,-2.44195,2025-05-04 02:32:56.949000+00:00
story-2,ip,Story,Inteligencia Artificial,3.71,1002590305.0,30261726.0,269807912.98,-1.0,93.0,-6.49346,7.31,1.0,3.98,3.68,-6.32166,2025-05-04 02:33:01.552000+00:00
the-graph,grt,The Graph,Inteligencia Artificial,0.093674,895502366.0,27364517.0,9548531509.16547,10788004319.0,98.0,-3.63023,2.84,0.052051,0.097718,0.092381,-3.38677,2025-05-04 02:33:02.118000+00:00
aioz-network,aioz,AIOZ Network,Inteligencia Artificial,0.412595,483826548.0,7434187.0,1172122457.999244,-1.0,152.0,-3.14601,2.65,0.01099588,0.436862,0.408448,-3.01422,2025-05-04 02:32:58.173000+00:00
beldex,bdx,Beldex,Inteligencia Artificial,0.067038,479052840.0,3368214.0,7145230550.833782,-1.0,153.0,1.82964,0.450785,0.00027519,0.068368,0.065764,1.84526,2025-05-04 02:33:00.856000+00:00
arweave,ar,Arweave,Inteligencia Artificial,7.29,476910623.0,40896940.0,65454185.5381511,66000000.0,154.0,-9.58449,89.24,0.298788,8.06,7.11,-9.73891,2025-05-04 02:33:00.801000+00:00
grass,grass,Grass,Inteligencia Artificial,1.5,413778041.0,19139501.0,275475576.0,1000000000.0,168.0,-1.89941,3.89,0.654959,1.54,1.47,-1.66897,2025-05-04 02:32:55.276000+00:00
akash-network,akt,Akash Network,Inteligencia Artificial,1.46,360998675.0,8393975.0,247443076.710739,388539008.0,187.0,-7.87757,8.07,0.164994,1.6,1.44,-7.52098,2025-05-04 02:32:56.438000+00:00
ai16z,ai16z,ai16z,Inteligencia Artificial,0.259794,286009314.0,86169283.0,1099998638.375987,1099999958.01,217.0,-10.74117,2.47,0.010189,0.298507,0.251615,-10.98866,2025-05-04 02:32:55.594000+00:00
golem,glm,Golem,Inteligencia Artificial,0.26629,266448895.0,8155039.0,1000000000.0,-1.0,231.0,-1.96949,1.32,0.00913753,0.273832,0.262803,-1.80209,2025-05-04 02:32:59.065000+00:00
arkham,arkm,Arkham,Inteligencia Artificial,0.537697,218275993.0,30978866.0,405847458.0,1000000000.0,266.0,-6.05376,3.98,0.287824,0.575722,0.527674,-6.04627,2025-05-04 02:32:58.486000+00:00
origintrail,trac,OriginTrail,Inteligencia Artificial,0.396171,197906003.0,1618483.0,499546955.602,500000000.0,283.0,0.92832,3.5,0.00385262,0.41597,0.389583,0.9282,2025-05-04 02:32:59.750000+00:00
kaito,kaito,KAITO,Inteligencia Artificial,0.795517,192354305.0,29421673.0,241388889.0,1000000000.0,287.0,-6.43727,2.88,0.674693,0.858708,0.785234,-6.297,2025-05-04 02:32:59.550000+00:00
livepeer,lpt,Livepeer,Inteligencia Artificial,4.76,191914203.0,14278886.0,40253220.36622396,40253220.36622396,288.0,-1.87774,99.03,0.354051,4.87,4.68,-1.70426,2025-05-04 02:32:56.996000+00:00
vana,vana,Vana,Inteligencia Artificial,5.36,165246205.0,18449050.0,30800000.0,120000000.0,325.0,-9.24148,35.23,4.52,5.96,5.29,-9.18544,2025-05-04 02:33:01.196000+00:00
qubic-network,qubic,Qubic,Inteligencia Artificial,1.38e-06,161477637.0,1299176.0,116842775117584.0,200000000000000.0,332.0,-2.39606,1.256e-05,7.03229e-07,1.44e-06,1.37e-06,-2.54367,2025-05-04 02:33:00.847000+00:00
alchemist-ai,alch,Alchemist AI,Inteligencia Artificial,0.168959,143813634.0,26486276.0,850000000.0,1000000000.0,350.0,-1.97838,0.235752,0.01435554,0.175386,0.163653,-2.25332,2025-05-04 02:33:01.005000+00:00
subsquid,sqd,SQD,Inteligencia Artificial,0.208366,137615563.0,3662587.0,660156812.605582,1337000000.0,367.0,-2.19073,0.245596,0.0228513,0.216491,0.200759,-1.97263,2025-05-04 02:32:54.590000+00:00
freysa-ai,fai,Freysa AI,Inteligencia Artificial,0.01534419,125644371.0,1887705.0,8189700000.0,8189700000.0,388.0,0.21395,0.080047,0.00158821,0.01588063,0.01512748,0.38055,2025-05-04 02:32:59.873000+00:00
paal-ai,paal,PAAL AI,Inteligencia Artificial,0.135045,120812010.0,6900107.0,895160918.3469602,1000000000.0,402.0,-5.66955,0.859797,4.587e-05,0.143161,0.133666,-5.73897,2025-05-04 02:32:54.480000+00:00
zignaly,zig,ZIGChain,Inteligencia Artificial,0.083816,118110138.0,1188599.0,1408940795.2396517,1953940795.239652,408.0,1.35096,0.224179,0.00428716,0.083851,0.079988,1.37103,2025-05-04 02:32:59.945000+00:00
io,io,io.net,Inteligencia Artificial,0.752371,117906297.0,24357693.0,156636838.82,800000000.0,409.0,-6.71952,6.43,0.513737,0.815017,0.740682,-6.49722,2025-05-04 02:32:54.764000+00:00
venice-token,vvv,Venice Token,Inteligencia Artificial,3.87,114725664.0,8938460.0,29665703.55228328,-1.0,417.0,-10.19251,22.58,1.8,4.44,3.78,-9.56226,2025-05-04 02:32:59.960000+00:00
zelcash,flux,Flux,Inteligencia Artificial,0.287458,110403555.0,5536711.0,383877509.4991484,440000000.0,426.0,-5.27026,3.33,0.01640374,0.304698,0.283654,-5.16208,2025-05-04 02:33:01.004000+00:00
delysium,agi,Delysium,Inteligencia Artificial,0.062999,104283370.0,2940257.0,1655157915.454597,3000000000.0,440.0,-3.74046,0.672035,0.01230869,0.066228,0.062413,-3.476,2025-05-04 02:32:58.843000+00:00
morphware,xmw,Morphware,Inteligencia Artificial,0.123602,96473551.0,261311.0,780582622.2736651,1232922769.0,460.0,-3.70088,0.196969,0.00563276,0.129326,0.119611,-3.56694,2025-05-04 02:32:55.769000+00:00
arcblock,abt,Arcblock,Inteligencia Artificial,0.968003,95425537.0,1907129.0,98580000.0,-1.0,463.0,14.98452,4.69,0.04949826,1.0,0.817021,14.60301,2025-05-04 02:33:00.060000+00:00
singularitynet,agix,SingularityNET,Inteligencia Artificial,0.30518,94404507.0,51968.0,309136644.4098436,2000000000.0,475.0,-3.65225,1.46,0.00747159,0.318446,0.303471,-3.66252,2025-05-04 02:32:56.584000+00:00
chaingpt,cgpt,ChainGPT,Inteligencia Artificial,0.114206,92519252.0,29788463.0,809462013.0,1000000000.0,482.0,-9.27039,0.555799,0.03568486,0.127299,0.112477,-9.24103,2025-05-04 02:32:59.492000+00:00
everipedia,iq,IQ,Inteligencia Artificial,0.00424182,91721576.0,2025882.0,21618292951.929,60000000000.0,485.0,-1.81846,0.072382,0.00063047,0.00432471,0.00419087,-1.79135,2025-05-04 02:32:56.837000+00:00
carv,carv,CARV,Inteligencia Artificial,0.34165,88291335.0,5734732.0,258030512.18,1000000000.0,499.0,-5.66455,1.36,0.273619,0.362454,0.340397,-5.52122,2025-05-04 02:33:00.435000+00:00
humans-ai,heart,Humans.ai,Inteligencia Artificial,0.01123214,87604163.0,443161.0,7800000000.0,7800000000.0,503.0,-3.1021,0.278557,0.00370636,0.011677,0.0112307,-3.33883,2025-05-04 02:32:59.148000+00:00
iexec-rlc,rlc,iExec RLC,Inteligencia Artificial,1.14,82236947.0,3923285.0,72382548.06525737,86999784.9868455,522.0,-2.34233,15.51,0.153815,1.17,1.11,-2.1551,2025-05-04 02:32:58.144000+00:00
pha,pha,PHALA,Inteligencia Artificial,0.100358,79627309.0,11003050.0,792615094.073419,1000000000.0,531.0,-5.54382,1.39,0.064594,0.107038,0.098198,-5.32375,2025-05-04 02:32:58.416000+00:00
marlin,pond,Marlin,Inteligencia Artificial,0.00930732,76155028.0,1844035.0,8187112980.0,10000000000.0,544.0,-4.00607,0.323362,0.00653027,0.00969784,0.00918352,-4.01964,2025-05-04 02:32:56.828000+00:00
wayfinder,prompt,Wayfinder,Inteligencia Artificial,0.330369,74032452.0,58640584.0,223900304.0,1000000000.0,552.0,-5.63299,0.607139,0.169173,0.352488,0.324177,-5.24593,2025-05-04 02:32:55.284000+00:00
chromaway,chr,Chromia,Inteligencia Artificial,0.086329,72680594.0,7153874.0,841931914.378197,978064789.0,561.0,-7.31174,1.49,0.00874003,0.093139,0.084792,-7.32399,2025-05-04 02:32:59.369000+00:00
cookie,cookie,Cookie DAO,Inteligencia Artificial,0.158719,71585538.0,20956196.0,450661831.3131376,1000000000.0,565.0,-9.87851,0.753574,0.02002041,0.179511,0.155432,-9.95525,2025-05-04 02:33:00.333000+00:00
nosana,nos,Nosana,Inteligencia Artificial,0.854217,71244992.0,539882.0,83400000.0,-1.0,567.0,-3.63601,7.83,0.01046656,0.892212,0.853976,-3.61621,2025-05-04 02:32:55.687000+00:00
saga-2,saga,Saga,Inteligencia Artificial,0.28632,70308502.0,12222905.0,245443067.0,-1.0,571.0,-5.12167,7.6,0.184052,0.304188,0.279578,-4.77061,2025-05-04 02:32:56.063000+00:00
numeraire,nmr,Numeraire,Inteligencia Artificial,8.72,69840343.0,4328295.0,8007701.310704102,11000000.0,573.0,-4.66241,93.15,2.06,9.22,8.56,-4.65257,2025-05-04 02:32:54.590000+00:00
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,Inteligencia Artificial,0.077313,68994406.0,109419.0,891250000.0,1000000000.0,579.0,-1.97881,0.500356,0.0002781,0.079079,0.075855,-1.85164,2025-05-04 02:32:57.120000+00:00
secret,scrt,Secret,Inteligencia Artificial,0.217628,66887779.0,3809447.0,306932762.901131,-1.0,585.0,-3.99481,10.38,0.147276,0.229031,0.214369,-3.71709,2025-05-04 02:32:55.941000+00:00
heyanon,anon,Hey Anon,Inteligencia Artificial,4.92,65262139.0,14643852.0,13251619.054133,21000000.0,589.0,-15.33525,24.73,0.922111,5.81,4.91,-15.13397,2025-05-04 02:33:02.469000+00:00
griffain,griffain,GRIFFAIN,Inteligencia Artificial,0.064775,64896572.0,14783028.0,999867768.023741,999880903.89,592.0,-5.67344,0.62487,0.02438249,0.070579,0.063221,-5.30305,2025-05-04 02:32:55.887000+00:00
solidus-aitech,aitech,Solidus Ai Tech,Inteligencia Artificial,0.04142912,64222758.0,13478765.0,1550002603.0,2000000000.0,596.0,-0.79607,0.493943,0.01243728,0.04300356,0.04143397,-0.78794,2025-05-04 02:32:55.455000+00:00
ocean-protocol,ocean,Ocean Protocol,Inteligencia Artificial,0.300083,61264576.0,177519.0,204159412.1268698,1410000000.0,608.0,-2.43612,1.93,0.01284832,0.308667,0.294485,-2.4541,2025-05-04 02:32:59.381000+00:00
oraichain-token,orai,Oraichain,Inteligencia Artificial,3.22,59479703.0,894408.0,18453470.0,19779272.0,619.0,-8.2006,105.76,0.904237,3.52,3.19,-8.20814,2025-05-04 02:32:56.283000+00:00
ai-rig-complex,arc,AI Rig Complex,Inteligencia Artificial,0.057422,57507346.0,10178498.0,999994033.162769,999998319.33,629.0,-7.85629,0.623197,0.02788188,0.063496,0.056062,-7.61571,2025-05-04 02:32:54.048000+00:00
cortex-2,cx,Cortex,Inteligencia Artificial,0.0461902,55847520.0,130465.0,1210000000.0,1646590000.0,639.0,-9.74311,0.085724,0.02207338,0.051635,0.04599365,-9.60669,2025-05-04 02:33:02.182000+00:00
magic,magic,Treasure,Inteligencia Artificial,0.177705,55607651.0,37978705.0,312794114.5572414,347714007.0,642.0,-13.65084,6.32,0.01999252,0.210501,0.174592,-13.40218,2025-05-04 02:32:56.792000+00:00
